t,x,y,theta,v,w
0.166,0.0000,0.0000,0.0000,0.0000,0.0000
0.255,0.0000,0.0000,0.0000,0.0000,0.0000
0.354,0.0000,0.0000,0.0000,0.0000,0.0000
0.455,0.0000,0.0000,0.0000,0.0000,0.0000
0.553,0.0000,0.0000,0.0000,0.0000,0.0000
0.654,0.0000,0.0000,0.0000,0.0000,0.0000
0.755,0.0000,0.0000,0.0000,0.0000,0.0000
0.856,0.0000,0.0000,0.0000,0.0000,0.0000
0.955,0.0000,0.0000,0.0000,0.0000,0.0000
1.054,0.0000,0.0000,0.0000,0.0000,0.0000
1.165,0.0000,0.0000,0.0000,0.0000,0.0000
1.256,0.0000,0.0000,0.0000,0.0000,0.0000
1.355,0.0000,0.0000,0.0000,0.0000,0.0000
1.454,0.0000,0.0000,0.0000,0.0000,0.0000
1.555,0.0000,0.0000,0.0000,0.0000,0.0000
1.656,0.0000,0.0000,0.0000,0.0000,0.0000
1.754,0.0000,0.0000,0.0000,0.0000,0.0000
1.854,0.0000,0.0000,0.0000,0.0000,0.0000
1.966,0.0000,0.0000,0.0000,0.0000,0.0000
2.065,0.0000,0.0000,0.0000,0.0000,0.0000
2.164,0.0000,0.0000,0.0000,0.0000,0.0000
2.255,0.0000,0.0000,0.0000,0.0000,0.0000
2.356,0.0000,0.0000,0.0000,0.0000,0.0000
2.455,0.0000,0.0000,0.0000,0.0000,0.0000
2.553,0.0000,0.0000,0.0000,0.0000,0.0000
2.664,0.0000,0.0000,0.0000,0.0000,0.0000
2.763,0.0000,0.0000,0.0000,0.0000,0.0000
2.866,0.0000,0.0000,0.0000,0.0000,0.0000
2.964,0.0000,0.0000,0.0000,0.0000,0.0000
3.076,0.0000,0.0000,0.0000,0.0000,0.0000
3.154,0.0000,0.0000,0.0000,0.0000,0.0000
3.254,0.0000,0.0000,0.0000,0.0000,0.0000
3.364,0.0000,0.0000,0.0000,0.0000,0.0000
3.456,0.0000,0.0000,0.0000,0.0000,0.0000
3.554,0.0000,0.0000,0.0000,0.0000,0.0000
3.656,0.0000,0.0000,0.0000,0.0000,0.0000
3.754,0.0000,0.0000,0.0000,0.0000,0.0000
3.854,0.0000,0.0000,0.0000,0.0000,0.0000
3.955,0.0000,0.0000,0.0000,0.0000,0.0000
4.064,0.0000,0.0000,0.0000,0.0000,0.0000
4.155,0.0000,0.0000,0.0000,0.0000,0.0000
4.263,0.0000,0.0000,0.0000,0.0000,0.0000
4.366,0.0000,0.0000,0.0000,0.0000,0.0000
4.455,0.0000,0.0000,0.0000,0.0000,0.0000
4.555,0.0000,0.0000,0.0000,0.0000,0.0000
4.664,0.0000,0.0000,0.0000,0.0000,0.0000
4.754,0.0000,0.0000,0.0000,0.0000,0.0000
4.863,0.0000,0.0000,0.0000,0.0000,0.0000
4.964,0.0000,0.0000,0.0000,0.0000,0.0000
5.062,0.0000,0.0000,0.0000,0.0000,0.0000
5.154,0.0000,0.0000,0.0000,0.0000,0.0000
5.264,0.0000,0.0000,0.0000,0.0000,0.0000
5.354,0.0000,0.0000,0.0000,0.0000,0.0000
5.454,0.0000,0.0000,0.0000,0.0000,0.0000
5.554,0.0000,0.0000,0.0000,0.0000,0.0000
5.654,0.0000,0.0000,0.0000,0.0000,0.0000
5.763,0.0000,0.0000,0.0000,0.0000,0.0000
5.855,0.0000,0.0000,0.0000,0.0000,0.0000
5.964,0.0000,0.0000,0.0000,0.0000,0.0000
6.054,0.0000,0.0000,0.0000,0.0000,0.0000
6.165,0.0000,0.0000,0.0000,0.0000,0.0000
6.288,0.0000,0.0000,0.0000,0.0000,0.0000
6.363,0.0000,0.0000,0.0000,0.0000,0.0000
6.465,0.0000,0.0000,0.0000,0.0000,0.0000
6.556,0.0000,0.0000,0.0000,0.0000,0.0000
6.664,0.0000,0.0000,0.0000,0.0000,0.0000
6.764,0.0000,0.0000,0.0000,0.0000,0.0000
6.856,0.0000,0.0000,0.0000,0.0000,0.0000
6.966,0.0000,0.0000,0.0000,0.0000,0.0000
7.065,0.0000,0.0000,0.0000,0.0000,0.0000
7.164,0.0000,0.0000,0.0000,0.0000,0.0000
7.265,0.0000,0.0000,0.0000,0.0000,0.0000
7.363,0.0000,0.0000,0.0000,0.0000,0.0000
